Category,ContentType,ReactionType,Sentiment,Score,Datetime
studying,photo,disgust,negative,0,11/7/2020 9:43
studying,photo,dislike,negative,10,6/17/2021 12:22
studying,photo,scared,negative,15,4/18/2021 5:13
studying,photo,disgust,negative,0,1/6/2021 19:13
studying,photo,interested,positive,30,8/23/2020 12:25
studying,photo,peeking,neutral,35,12/7/2020 6:27
studying,photo,cherish,positive,70,4/11/2021 17:35
studying,photo,hate,negative,5,1/27/2021 8:32
studying,photo,peeking,neutral,35,4/1/2021 22:54
studying,photo,love,positive,65,8/4/2020 5:05
studying,photo,indifferent,neutral,20,11/7/2020 8:36
studying,photo,scared,negative,15,11/2/2020 6:28
studying,photo,interested,positive,30,11/1/2020 1:16
studying,photo,hate,negative,5,10/7/2020 18:39
studying,photo,scared,negative,15,9/3/2020 18:51
studying,photo,super love,positive,75,2/24/2021 5:09
studying,photo,peeking,neutral,35,9/23/2020 6:24
studying,photo,indifferent,neutral,20,2/24/2021 11:37
studying,photo,interested,positive,30,5/22/2021 19:44
studying,photo,intrigued,positive,45,1/31/2021 16:03
studying,photo,peeking,neutral,35,11/20/2020 17:26
studying,photo,worried,negative,12,4/11/2021 20:47
studying,photo,like,positive,50,6/13/2021 16:46
studying,photo,heart,positive,60,4/11/2021 14:29
studying,photo,worried,negative,12,3/2/2021 19:21
studying,photo,hate,negative,5,6/27/2020 18:44
studying,photo,hate,negative,5,5/9/2021 21:05
studying,photo,cherish,positive,70,8/4/2020 23:58
studying,photo,super love,positive,75,8/28/2020 3:57
studying,photo,intrigued,positive,45,8/25/2020 8:21
studying,photo,scared,negative,15,4/20/2021 23:48
studying,photo,interested,positive,30,3/7/2021 12:40
studying,photo,indifferent,neutral,20,5/24/2021 3:21
studying,photo,super love,positive,75,1/24/2021 11:03
studying,photo,disgust,negative,0,4/9/2021 2:46
studying,photo,super love,positive,75,2/2/2021 3:43
studying,photo,interested,positive,30,2/4/2021 3:06
studying,photo,dislike,negative,10,11/9/2020 2:49
studying,photo,scared,negative,15,9/29/2020 16:00
studying,photo,dislike,negative,10,11/29/2020 21:33
studying,photo,want,positive,70,2/13/2021 7:54
studying,photo,interested,positive,30,7/14/2020 5:28
studying,photo,indifferent,neutral,20,8/23/2020 10:30
studying,photo,worried,negative,12,5/10/2021 9:27
studying,photo,hate,negative,5,3/15/2021 3:59
healthy eating,photo,dislike,negative,10,6/25/2020 17:01
healthy eating,photo,intrigued,positive,45,9/13/2020 0:11
healthy eating,photo,peeking,neutral,35,8/20/2020 18:17
healthy eating,photo,scared,negative,15,2/11/2021 4:53
healthy eating,photo,hate,negative,5,3/8/2021 10:40
healthy eating,photo,disgust,negative,0,3/28/2021 21:15
healthy eating,photo,hate,negative,5,5/25/2021 1:00
healthy eating,photo,like,positive,50,3/15/2021 12:17
healthy eating,photo,love,positive,65,5/5/2021 16:26
healthy eating,photo,love,positive,65,8/31/2020 0:21
